Record ID,Description,Text2
21,Impact, It gave me a some of the history of the program and having a live reaction during the presentation showed where I was in my thinking as topics came up. 
22,Impact,"The shared ideal of the importance of ʻŌlelo Hawaiʻi, the connection of Hawaiian values, morals, and traditions and itʻs value to all today. The information shared and how it was shedding light on how the DOE lacks cultural integration in the system as a whole. The light shed on the DOE and the lack of culture in schools. "
23,Impact,"Data confirms that the lower education achievement of Native Hawaiians is a reflection of the incompatibility of the current education system with our native Hawaiian cultural propensities and preferences. Children are the evidence, not the crime. "
24,Impact,"The fun, interactive style kept attendees on their toes and having to actually evaluate their opinions. "
26,Impact, How educationally advanced Hawaii was in the past. Also PEAR DECK was amazing and I downloaded it immediately. love her oli aloha and oli mahalo very simple and impactful. <3 
27,Impact, Her passion and knowledge. 
28,Impact,Dr. Ku is amazing. Her presentation about history and knowledge blew me away. 
29,Impact,Indigenous teaching is awesome! 
30,Impact, The information on historical education in Hawaiʻi and how we should move forward with HCBE. The information provided was based on research and applicable to both formal and informal education settings. 
31,Impact, The way Kū Kahakalau shared her ʻike and created an opportunity for everyone to participate and be involved and not just listen. Ku was very inspirational and I loved the way she involved us (the audience) in her presentation. 
32,Impact,Be the aloha I want to see in the world. 
33,Impact,I love that she asked us questions to keep us focus. Her presentation overall was excellent. 
34,Impact, It was very inspirational full of facts/data to support her speech. 
35,Impact,How we as Hawaiians should make it our kuleana to not be afraid to voice our feelings and rights that were already ours to begin with. It's a shame how colonialism has effected the whole world. But I case it's the natural process of things. 
36,Impact, The passion Ku continues has for Hawaiian education.
37,Impact,The Hawaiian History of our Education. The evolution & progress made to get back to the holistic way to educate vs. the western way. We can undo the harm done by generations of Western ways via the pedagogy of aloha. 
38,Impact,What an amazing presentation. She set the tone for the entire day. Haumāna learn through play. We have to remember that. to learn that education can be reformed for our hawaiian keiki 
39,Impact,"She shared so much valuable manaʻo! I liked the Mea hanohano Lūʻau model, the hawaiian education system model, it was awesome! The game we all did virtually the pear.net. "
40,Impact, I was really moved to hear how Native Hawaiians were thriving people and as the years went by 100 when foreigners came in everything changed. Learning about the history of the Early Hawaiians and how striving and academically they were. 
41,Impact,I could listen to Dr. Kū over and over and over and over - please invite her to future conferences. 
42,Impact,"even though I don't 'olelo Hawaii, I really enjoy listening to it "
43,Impact,The historical journey of HCBE. 
44,Impact,A better understanding of the history of Olelo. Need to know the history to appreciate how it came to being. 
45,Impact,Just the knowledge that was shared was very uplifting 
46,Impact, Information 
47,Impact,Like the engagement from the presenter in getting the viewers to participate! 
48,Impact,"Ku continues to pursue her quest to improve the educational system with aloha and enthusiasm not just by talking about it, but presenting a roadmap for it. Genius!! "
49,Impact,The knowledge and experience of the presenter. I appreciated the rich history lesson and its connection to future learning. 
50,Impact," I found the information shared interesting. A lot of the information shared I knew a little about. However, their were things that the presenter spoke about that was new to me. "
51,Impact,"SO AWESOME! Everything Dr. Kahakalau had to share was so eye opening and amazing. She has done so much for our Hawaiian community and the research that she's done and continues to do, will forever benefit us. I'm glad she was our keynote speaker because it opened up the conference on a positive note and got us motivated to learn more. "
53,Impact,Very passionate and knowledgeable about her culture. Love that she is passing this on to her children and the students that she teaches. 
54,Impact,"Every time I hear Dr. Kahakalau is an enjoyable learning experience. She has the gift to keep educate while keeping her audience engaged, laughing and on the edge of our seat to hear more! "
55,Impact,"Was not aware of Hā, now I am :-) "
56,Impact,"The importance of the book 'Olelo No'eau and discussion about ""Institutionalized Racism"" "
57,Impact,The pedagogy of aloha will be vital to how we approach future learning.
58,Impact,That it is time to rise as a Lahui. 
59,Impact, How long she has been invested in this and how much has not changed since. 
60,Impact,"Teach with ALOHA! Haumāna need a safe, supportive, and caring environment to grow and learn. Education needs to reflect our culture. Great presentation "
61,Impact,welcoming message how important to bring back Hawaiian culture into education and students. 
62,Impact,Her energy and passion 
63,Impact,"The history presented was powerful, as was the presentation of a concrete way forward for HCBE. "
64,Impact, The manao the women gave and the 'ike passed down 
65,Impact, The lu'au model-simple yet effective! 
66,Impact,It was great to hear some ideas that can be incorporated into the classroom 
67,Impact,"Her presentation set the tone for the conference. She's was dynamic, passionate, humorous, and used technology to keep the participants engaged. Her knowledge about the subject. "
68,Impact,"We have to make systemic changes to maximize learning opportunities to reach our ways of learning and knowing. Presenters knowledge of, commitment to and history of involvement, with HCBE. "
69,Impact,Her ideas and manao of the ways of the past. 
70,Impact,I really aprreciated Ku's use of tech such as pear deck to engae me as a participant. 
71,Impact,A very knowledgeable and profound speaker. I would enjoy just listening to her speak. 
72,Impact,The importance of our culture and language. 
73,Impact," the reminder that our ancestors were among the most educated, respectful and resourceful. "
74,Impact, *** The waiwai of 'ike of Hawai'i and of Kumu Kahakalau 
75,Impact,"The presenter opened my eyes to the institutional racism, decline of the Hawaiian educational system, and laughing and having fun shows/means there is learning (I believe this too). "
76,Impact,The history and what we can learn from that. 
77,Impact,love the mana’o that Dr. Kahakalau presented from a historical timeline if HCBE 
78,Impact,The confirmation of Hawaiian education through a traditional lens is what works...
79,Impact,An embodiment of our ancestral knowledge! 
80,Impact,"I liked how this presentation was interactive. Pedagogy of Aloha, hands down the best! "
81,Impact,"Aunty Kū is knows this subject in depth and covered the history of education in Hawaiʻi over the decades. What impacted me the most is that although so much is being done to shift ideas and expectations, the state is just not on board. When she spoke of institutional racism, it gave me pause. "
82,Impact,"Kumu Ku made me understand that Hawaiians were one of the top three educated people in the world. We had many talents such as weaving, tapa making, featherwork, and hula. Our 'olelo hawaii was so poetic, teaching keik were project based, fun and the teaching was always connected to the 'aina. "
83,Impact,Always a pleasure being in Aunty Kūʻs orbit. She is trail blazer. A brilliant mind. 
84,Impact,Everything. 
85,Impact,Working on collaboration to bring down the fence. Working with the system to bring down walls that separate Hawaiian education from DOE. 
86,Impact,"Aunty Ku , in my opinion, always has a wonderful way of expressing her ideas and teachings. Her power points approach is understandable and so full of valuable information. "
87,Impact,powerful and impactful 
88,Impact,19th century historical context was very valuable as well as the framing of the last 40 years of work by so many amazing kanaka. Love the interaction with the audience she did. 
89,Impact,This presentation was life changing! m fully committed and motivated to kōkua my kānaka to see our future in an attainable goal. Mahalo! Place based pedagogy is a lifestyle change as a kumu myself! 
90,Impact,Your whole presentation was awesome...I'm not very well versed in Olelo Hawaii but I'm working on it. Thank you for your insight and knowledge that you have shared. I hope to hold up my part in my kuleana of being Hawaiian and helping toward our future. 
91,Impact,"No matter how many times I hear Aunty Ku, there is always something new. "
92,Impact, ʻIke from KūKahakalau 
93,Impact," EVERYTHING! Leʻa leʻa!!! I sometimes forget the importance of laughter in the classroom, but this is sooo important for our keiki. Also, if we keep valuing our waiwai kūpuna and collaborate, how can we not thrive. STOP institutionalize racism- AE! WOW! "
94,Impact," I enjoy all of Ku Kahaklau's classes, she teaches in a fun and interesting way. I always walk away feeling full and happy. "
95,Impact, I’m biased. I love ‘Anake Ku. She just had surgery and she didn’t even let her personal ailments to determine how she should live life. She overcame and conquered with le’ale’a. We need to teach our Keiki that as hard as life is it’s ok. We always learning an important lesson and we need to learn from our wonderful mo’i and Ali’i and kupuna. 
96,Impact,Just listening to all the ʻike! 
97,Impact,The knowledge of our ancestors and how we should all be using it now.
98,Impact,Everything 
99,Impact,"Everything about Dr. Kū is impactful. Her ʻano is so maikaʻi! From her opening ʻolelo noʻeau to her lūʻau model, I am always a sponge to her ʻike. She is a role model for us all. One of my takeaways from her keynote this morning is how we need to dismantle the fence from both sides, with Aloha. This is ʻike we can apply on so many fronts, especially in our public education system. I will continue to ponder ways in which we can do this and take the necessary action to bring down that fence. It is my kuleana and privilege. "
100,Impact,The value of her Pear Deck slides that well document and validate our ongoing efforts to reaffirm our culture and language in modern day society 
110,Impact,"As Hawaiians and people of Hawaiʻi, we must eat, sleep and breathe as the people without being totally conformed or intimidated to a Westernized educational system but instead, a balanced one. "
111,Impact,The time that she had put in to HCBE and the way she would come up with solutions to push forward. 
112,Impact,Lu'au model & the focus on the mea hanohano. 
113,Impact,Itʻs always so sad to hear that thereʻs racism going on. But excited to learn of all the new groups that are taking their part in teaching cultural-based education. 
114,Impact,What impacted me the most from this presentation is showing how the Hawaiian based teaching can greatly impact our keiki learning that can be far superior to the western style of teaching. They put to practice what they learn. 
115,Impact,"Anake Ku is always great! She makes me want to be a better Hawaiian. I incorporate Hawaiian in my daily lives, alone. But anake Ku's message made me open my eyes and realize that I need to dig deeper and practice Hawaiian practices with all those around me. "
116,Impact,"I love hearing anake ku speak. reminder to use Hawaiian values as guidelines, especially aloha. a strong sense of aloha and `ohana fosters supportive and caring relationships "
117,Impact,How successful a hawaiian culture based education system can be 
118,Impact,Came across as confrontational. 
119,Impact,I got new ideas for a lot of stuff I can use in my own workshops 
120,Impact,Discussion topics such as institutionalized racism caused me to reflect upon the school systems in Hawaiʻi. What is my kuleana and how will I heed the call to action to incorporate HCBE and appropriate learning experiences and methods of assessing keiki learning in a wholistic manner? Very powerful and thought provoking content covered in a pleasant but real way. 
121,Impact,It was amazing to see the research behind the state of education in hawaii. The speaker was so knowledgable and impactful in the blunt statements about the way it truly is in the education system. 
122,Impact,"Love that she was real and not so formal. Easy to listen to her and enjoyed the interesting ʻike she shared with us. Like the others, I could feel the passion and excitement in her presentation. So much good things are happening that she is involved with. Let us continue to support this good work, their program and the journey. Need to find a balance for styles of education to compliment one another and for more keiki to participate and attend. "
123,Impact,The Daughters of Mau were awesome! And after all these years they are still together even though theyʻre not on the same Island. Talk about a strong bond! I really enjoyed their stories and how they bonded and learned so much. I loved what was shared today. 
124,Impact,The comprehensiveness of Kūʻs moʻolelo fo HCBE from the historical pre-contact time to present. Her pear interactive tool. The message of our kuleana as 21st century Hawaiian educators and the PONO INDEX
125,Impact,Institutional racism exists. Thatʻs gotta change. 
126,Impact, I loved listening to Aunty Ku! I would love to meet her some day. I loved the knowledge she shared and how empowering she is. I loved her pear deck presentation and being able to be a part of what she was sharing. She was engaging and I loved hearing her. I value all that she shared. 
127,Impact,I am in awe of the incredible work that has gone into the lifelong commitment to loving and supporting our keiki. So grateful! 
128,Impact,We need a parallel education system. DOE isn't working for our kids. A Hawaiian system of education can be just like the lūʻau model she presented. 
129,Impact,Self-determination can be achieved through education - very positive and encouraging The lū`au model - excellent visual that sums up total process and framework for change 
130,Impact, The history... 
131,Impact,She shared a wealth of knowledge about our aliʻi and our kupuna. 
132,Impact,Kū Kahakalalau is such a dynamic speaker and she did well virtually. I enjoyed her virtual interaction with joinpd that was part of her presentation. Gave me a better understanding of the Hawaiian System of Education and loved her Luau Model. 
133,Impact,What a great way to start the conference! Awesome presentation! 
134,Impact,Institutional racism exists. 
135,Impact,Loved that it was interactive as well 
136,Impact,"Ua hoʻoiaʻiʻo ka waiwai, ke akamai helu ʻekahi o nā hulu kūpuna! "
137,Impact,"What impacted me to the most was knowing that in the 1860s we were one of the top 3 schools in the world and knowing that after 100 years we ended up at the bottom, this was a shocker due to how fast the time can change things. "
138,Impact,Her presentation on institutionalized racism 
139,Impact,"I enjoyed her mana'o and the way she engaged us by allowing us to be a part of her program. She was full of information, she was knowledgeable, funny, non intimidating. "
140,Impact,that we have to be advocates for the hawaiian people. Share our knowledge 
141,Impact,AWESOME manao! Encouraging! Confirmation of how we need to proceed. 
142,Impact,"Lu'au time! It doesn't matter who is responsible for what, we all are important elements in ensuring that the lu'au. or the program you are running is a success. Focus on your role in the grand scheme. "
143,Impact,The interactive questions and personal story 
144,Impact,The explanation of what Hawaiian Based education looks like and the history of education in Hawaii was very impactful. relations + relevance + responsibility = rigor and fun.
145,Impact,Kū made me very hopeful about the future of my keiki and the moʻopuna I hope to have one day. I am confident that they will have an education grounded in Hawaiʻi values and practices. 
146,Impact,"Pedagogy of Aloha is an excellent foundation to live by in all areas of life. It is always a blessing learning from `Anakē Kū and seeing her passion and support thrive in helping to raise a community of educated, aloha `āina warriors. "
147,Impact,I have admired the Monarchy and how much they cared for their people. I was not surprised by the Hawaiians being the most literate country in 1861. They were always trying to lift their people up. 
148,Impact,So much knowledge!!! Would love to hear more! 
149,Impact,"Although I have taken classes with 'Anakē Kū, I did not know how rare and prized the artistic abilities are for our native Hawaiian people. I believe that our ancestors were so intelligent. I did not know that the school that was created was one of the first free educational systems west of the Rockies. I like the fact that ʻAnakē Kū stated that relations + relevant responsibility=contemporary and traditional rigor that is fun. I believe when children are having fun it affects their social and emotional health as well as their ability to be creators of knowledge. I believe that I can continue to grow in this area by learning all that I can, growing into a sense of confidence, and applying what I know to the Keiki Steps program. I like this-A culturally appropriate e learning environment! "
150,Impact,Pedagogy of Aloha...I wouldn't mind learning more about that. 
151,Impact," I love the quote that Anake Ku shared from Queen Liliu'okalani,""Never cease to act because you fear you may fail"". I believe we all have a voice and can make a difference. If we learn to stand together as one, we can make our voices heard. "
152,Impact,She spoke with such passion! 
153,Impact,"I work at Kanu, it is personal. "
154,Impact, Everything. 
155,Impact," So knowledgeable, so approachable, so inclusive... love her. "
156,Impact, To know that our kūpuna was already doing what the modern world is teaching nowadays. 
157,Impact,Powerful mana'o 
158,Impact, Maikaʻi 
159,Impact,"She stated when students feel safe, when they feel like the people around them care for them...they will open up and eventually blossom! and THAT is why I am in the profession I am...I want to be that person the create that blossom, that drive for learning more within our little keiki!! Mahalo for the reminder! Mahalo for confirming that what I am doing, is what I need to be doing! "
160,Impact,His reasoning for his education. 
161,Impact,All information was valuable 
162,Impact,"Very inspirational. Pedagogy of Aloha. Relationship, Relevance, Rigor "
163,Impact,"Dr. kahakalau's use of ""from womb to tomb"" is so relevant is so many ways. It really resonated with me and going forward the importance of my teachings and the journey forward. "
164,Impact,Holding ourselves accountable towards bettering the future for Hawaiians
165,Impact,Hearing that we were one of the lowest educated people. We were told that we werenʻt smart and that was due to the introduction of western ways! 
166,Impact,The factual history lesson was awesome. I had some knowledge of this history but his presentation was great. It sets a fire in you to right the. wrong. Mahalo 
167,Impact," I will start to change the way I refer to ""cultural vs. academic"" and will now use the words ""traditional"" and ""contemporary"". Loved her entire presentation and energy. "
168,Impact,The importance of Hawaiian Education 
169,Impact, Rigor + Fun 
170,Impact, aloha ʻāina is a truly remarkable cycle 
171,Impact," Kū's manaʻo, sharing genealogies and the interaction on the slides "
172,Impact,The aloha and mana 
173,Impact, Everything she spoke on was so impactful. 
174,Impact,It reminded me that we all are able to impact using our individual strengths 
175,Impact,The insights into the way things were done long ago are being overlooked by mainstream education 
176,Impact, Not letting the ship sink! 
177,Impact,"Dr. Kahakalau allows her audience ""to play along"", thus making the presentation relevant. She always uplifts the lāhui."
178,Impact,Always love the incorporation of the interactive segments and just Aunty Ku's aloha! 
179,Impact,Awesome opening and great vibe. 
180,Impact,She was great! Easy to follow and listen too. 
181,Impact,Mahalo & Aloha for all that you do for our keiki. 
182,Impact,"Wonderful, mahalo nui! "
183,Impact,So many small thoughts when woven together is a part of the fabric of our community 
184,Impact, Learned the most applicable information from this session. Very inspiring! 
185,Impact,"It was a fantastic way to begin the conference; Ku was engaging, informative, and genuine! "
186,Impact,"The validation of the importance of all language, history, culture, traditions and morals to be demonstrated and strived for was invigorating. "
187,Impact,"E kala mai, in my first survey I clicked strongly disagree thinking it was strongly agree because I didnʻt have my glasses on. Please disregard the first one I did that said strongly disagree for all 3 above. Ku has given me life! So inspired! "
188,Impact,How can we help and advocate for our keiki. 
189,Impact,Mahalo 
190,Impact,Mahalo! 
191,Impact,Mahalo nut for sharing your talents and ʻike. 
192,Impact,Her stabs at KS during her speech were very obvious. She spoke at our KS campus and had similar comments so i know that this is just her opinion of KS that she loves to share out. :) 
194,Impact,I am really interested in learning more about Ku's ideas for reaching the Hawaiian Educational Reform she spoke about in her presentation. Mahalo!! It made be very proud to see what we have accomplished and why. 
195,Impact,MAHALO! 
196,Impact,HCBE LMS 
197,Impact,Mahalo!
198,Impact,Mahalo 
199,Impact,How do we help her continue her work? 
200,Impact,n/a 
201,Impact,good intro to the conference. Mahalo 
202,Impact,Enjoyed :) 
203,Impact,na 
204,Impact,Itʻs all our ʻkuleanaʻ 
205,Impact,Off the charts 
206,Impact,I was amazed at people who voted negatively in the polls she did. Anyone who feels that way about Hawaiians and Hawaiian culture shouldn't be working for Kamehameha. 
207,Impact,Presentation exceeded my learning 
208,Impact,"I love that they lived their lives through the values, which I feel is lacking in todays society. "
209,Impact,"So inspiring and kako'o, mana, u'i this depth and clarity of knowledge and research, vision and passion! Mahalo nui e Kumu Kahakalau! This helped me by stoking the fire and keeping the spark alive for HCBE and NA 'Oiwi! "
210,Impact,Love listening to her whenever the chance arises. 
211,Impact,There seemed to be issues with the tech for the presentation. I was not able to participate with the pieces when the audience was surveyed during the discussion. 
212,Impact,Engaging presentation! 
213,Impact,"If you ever do more of these types of conferences, I hope you somehow have Aunty Ku involved!! She is one of Hawaii’s treasures!!! It was so inspiring! "
214,Impact,Maikaʻi loa 
215,Impact,MAHALO! I Love EA University! 
216,Impact,Hana hou!! 
217,Impact,Mahalo 
218,Impact,Mahalo 
219,Impact,Mahalao nui Kauka Kahakalau for her years of work and efforts--please continue to support her.
220,Impact,"Dynamic, clear to the point. So ha'aha'a. She never fails to deliver. "
221,Impact,Always a pleasure to listen to Ku! 
222,Impact,N/a 
223,Impact,Awesome! Mahalo for the mele and hula!! 
224,Impact,LOVE Dr. Kū Kahakalau's interactive and fun style of sharing. Excellent graphics for the Lūʻau Model and the Hawaiian System of Education. I would love to take more classes. 
225,Impact,Thanks to Dr. Kahakalauʻs work to start accreditation process to be both WASC and HAIS - charter schools have great foundation from which to build equaty in learning and performance. Mahalo! 
226,Impact,Mahalo a nui e Kumu Kū! 
227,Impact,I enjoyed Aunty presentation it made me realize to stand up and be proud that I am Hawaiian and that I can teach it to my own keiki in the future and generations in my ohana. 
228,Impact,We have so much to learn from the past. 
229,Impact,MAHALO! 
230,Impact,So inspiring! she is unwavering! I have so much to learn from her!!!! 
231,Impact,I am not familiar with PearDeck but while I mostly enjoyed that slightly more interactive feature I didn't like that my slide deck went faster than hers and I sometimes missed out on the opportunity to answer her questions. 
232,Impact,Mahalo nui e Anake Ku! Thank you for always taking the time to share your knowledge and wisdom of our Hawaiian culture. I appreciate everything that is taught. :) 
233,Impact,NA 
234,Impact,n/a 
235,Impact,Maikaʻi 
236,Impact,Made good use of technology to help me understand the presentation 
237,Impact,Mahalo Anake Kū! She is always amazing so lucky to be able to learn from her. 
238,Impact,mahalo nui 
239,Impact,i wish there was more time for each presentation~ i am looking forward to the recordings! 
240,Impact,I enjoy learning from Aunty KŪ 
241,Impact,Educate our keiki 
